ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
654367,0,0.0188053,0,0.0173913,0,0,0.0361966
654376,0,0.0752212,0,0,0,0,0.0752212
654387,0,0.0752212,0,0,0,0,0.0752212
654401,0,0.0470133,0,0,0,0,0.0470133
654407,0,0.0470133,0,0,0,0,0.0470133
654417,0,0.0188053,0,0.469565,0,0,0.488371
654428,1.8129,3.08407,0,0.486957,8.16378,-12.2866,5.38393
654438,1.8129,3.08407,0,0.486957,8.16378,-12.2866,5.38393
654449,0.249681,0.253872,0,0.417391,11.4443,-1.40336,0.920944
654460,0.249681,0.253872,0,0.417391,11.4443,-1.40336,0.920944
654471,0.423372,0.88385,0.407292,2.6087,15.393,5.92881,4.32321
654476,0,0.714602,0.602083,2.48696,17.0854,9.36381,3.80364
654497,0.0434227,0.865044,0.451562,2.29565,18.2299,7.54475,3.65568
654508,0.0977011,0.930863,0.398438,2.13043,18.0267,6.32608,3.55744
654517,0.0977011,0.930863,0.398438,2.13043,18.0267,6.32608,3.55744
654529,0.0868455,0.789823,0.31875,1.75652,18.13,6.09059,2.95194
654538,0.0868455,0.789823,0.31875,1.75652,18.13,6.09059,2.95194
654549,0.0542784,0.686394,0.221354,1.28696,18.8721,5.1199,2.24898
654561,0.0651341,0.526549,0.185937,0.834783,17.2144,3.99128,1.6124
654571,0.0651341,0.526549,0.185937,0.834783,17.2144,3.99128,1.6124
654577,0,0.28208,0.0265625,0.365217,23.0291,2.44191,0.67386
654586,0,0.103429,0.00885417,0.0956522,0,0,0.207936
654600,0,0.103429,0.00885417,0.0956522,0,0,0.207936
654609,0,0.0564159,0,0,0,0,0.0564159
654616,0,0.0564159,0,0,0,0,0.0564159
654632,0,0.0564159,0,0.0173913,0,0,0.0738072
654642,0,0.0188053,0,0.0434783,0,0,0.0622836
654672,0,0.0188053,0,0.0434783,0,0,0.0622836
654689,0,0.0658186,0,0,0,0,0.0658186
654701,0,0.0188053,0,0.0521739,0,0,0.0709792
654728,0,0.0188053,0,0.0521739,0,0,0.0709792
654731,0,0.0376106,0,0,0,0,0.0376106
