ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
462008,0,0.0186301,0,0.0175439,0,0,0.036174
462011,0,0.0372603,0,0.0175439,0,0,0.0548041
462020,0,0.0558904,0,0.0438596,0,0,0.0997501
462030,0,0.0279452,0,0,0,0,0.0279452
462041,0,0.0279452,0,0,0,0,0.0279452
462072,0,0.0465753,0,0,0,0,0.0465753
462112,0,0.0186301,0,0,0,0,0.0186301
462114,0,0.0558904,0,0,0,0,0.0558904
462130,0,0.00931507,0,0,0,0,0.00931507
462153,0,0.0186301,0,0,0,0,0.0186301
462163,0,0.0745206,0,0,0,0,0.0745206
462173,0,0.0745206,0,0,0,0,0.0745206
462213,0,0.0652055,0,0,0,0,0.0652055
462216,0,0.0652055,0,0,0,0,0.0652055
462219,0,0.0652055,0,0,0,0,0.0652055
462234,0,0.0838356,0,0,0,0,0.0838356
462244,0,0.0558904,0,0.0175439,0,0,0.0734343
462261,0,0.0372603,0,0,0,0,0.0372603
462271,0,0.0558904,0,0,0,0,0.0558904
462281,0,0.0558904,0,0,0,0,0.0558904
462317,0,0.00931507,0,0,0,0,0.00931507
462318,0,0.0465753,0,0,0,0,0.0465753
462321,0,0,0,0,0,0,0
462330,0,0,0,0,0,0,0
462340,0,0.0465753,0,0,0,0,0.0465753
462351,0,0.0838356,0,0.0438596,0,0,0.127695
462360,0,0.0838356,0,0.0438596,0,0,0.127695
462371,0,0.00931507,0,0.00877193,0,0,0.018087
462381,0,0.00931507,0,0.00877193,0,0,0.018087
462433,0,0.0279452,0,0,0,0,0.0279452
462440,0,0.0465753,0,0,0,0,0.0465753
462442,0,0,0.0263975,0.00877193,0,0,0.0351694
462452,0,0.0465753,0,0,0,0,0.0465753
462462,0,0.0465753,0,0,0,0,0.0465753
462472,0,0.0372603,0,0,0,0,0.0372603
462482,0,0.0558904,0,0.00877193,0,0,0.0646623
462532,0,0.0558904,0,0.00877193,0,0,0.0646623
462534,0,0.0465753,0,0,0,0,0.0465753
462544,0,0.0558904,0,0,0,0,0.0558904
462555,0,0.0652055,0,0.00877193,0,0,0.0739774
462565,0,0.0931507,0,0,0,0,0.0931507
462575,0,0.0931507,0,0,0,0,0.0931507
462584,0,0.0372603,0,0,0,0,0.0372603
462624,0,0.0279452,0,0,0,0,0.0279452
462627,0,0.0279452,0,0,0,0,0.0279452
462637,0,0.0186301,0,0.00877193,0,0,0.0274021
462647,0,0.0372603,0,0.0175439,0,0,0.0548041
462657,0,0.0372603,0,0.0175439,0,0,0.0548041
462667,0,0.0652055,0,0.0263158,0,0,0.0915213
462677,0,0.0279452,0,0.00877193,0,0,0.0367171
462693,0.0219496,0.0279452,0,0,0,0,0.0498949
462722,0.0219496,0.0279452,0,0,0,0,0.0498949
462723,0,0.0186301,0,0.0175439,0,0,0.036174
462734,0,0.0186301,0,0.0175439,0,0,0.036174
462743,0,0.0652055,0,0,0,0,0.0652055
462753,0.0109748,0.0652055,0.0439959,0.0175439,0,0,0.13772
462764,0.0109748,0,0.0439959,0.0175439,0,0,0.0725145
462773,0,0,0,0,0,0,0
462829,0,0.0372603,0,0.0175439,0,0,0.0548041
462832,0,0.0372603,0,0.0263158,0,0,0.0635761
462848,0,0,0,0,0,0,0
462858,0,0.0372603,0,0,0,0,0.0372603
462870,0,0.0372603,0,0,0,0,0.0372603
462880,0,0.0186301,0,0,0,0,0.0186301
462889,0.0219496,0.0652055,0,0.0263158,0,0,0.113471
462930,0.0219496,0.0652055,0,0.0263158,0,0,0.113471
462932,0,0.0745206,0,0.0175439,0,0,0.0920644
462936,0.0219496,0.0465753,0,0,0,0,0.068525
462957,0,0.0186301,0,0,0,0,0.0186301
462967,0,0,0,0.00877193,0,0,0.00877193
462977,0,0,0,0.00877193,0,0,0.00877193
462987,0.0109748,0.0279452,0,0,0,0,0.03892
462997,0.0109748,0.0279452,0,0,0,0,0.03892
463030,0.0109748,0,0.00879917,0,0,0,0.019774
463032,0,0.0745206,0.0175983,0.00877193,0,0,0.100891
463036,0,0,0,0,0,0,0
463051,0.0109748,0.0558904,0,0,0,0,0.0668652
463061,0.0109748,0.0558904,0,0,0,0,0.0668652
463071,0,0.0558904,0,0,0,0,0.0558904
463081,0,0.0558904,0,0,0,0,0.0558904
463091,0,0.00931507,0,0,0,0,0.00931507
463101,0,0.0279452,0.00879917,0.0526316,0,0,0.089376
463132,0,0.0279452,0.00879917,0.0526316,0,0,0.089376
463133,0.0109748,0.0745206,0,0.0350877,0,0,0.120583
463137,0,0.0186301,0,0.0350877,0,0,0.0537179
463168,0.0219496,0.0372603,0,0.00877193,0,0,0.0679819
463174,0.0219496,0.0372603,0,0.00877193,0,0,0.0679819
463178,0,0.0652055,0,0,0,0,0.0652055
463193,0,0.0652055,0,0,0,0,0.0652055
463203,0,0,0,0.0350877,0,0,0.0350877
463235,0,0,0,0.00877193,0,0,0.00877193
463236,0,0.0186301,0,0,0,0,0.0186301
463253,0,0.0279452,0,0,0,0,0.0279452
463262,0,0.00931507,0,0,0,0,0.00931507
463284,0.0219496,0.102466,0,0,0,0,0.124415
463294,0,0.0279452,0,0,0,0,0.0279452
463341,0,0.0372603,0,0.00877193,0,0,0.0460322
463343,0,0.0372603,0,0.00877193,0,0,0.0460322
463366,0,0.00931507,0,0,0,0,0.00931507
463376,0,0.0745206,0,0,0,0,0.0745206
463386,0,0.0745206,0,0,0,0,0.0745206
463396,0,0.0186301,0,0.0526316,0,0,0.0712617
463443,0,0.0279452,0,0,0,0,0.0279452
463446,0.0109748,0.0372603,0,0.0263158,0,0,0.0745509
463456,0,0.0372603,0,0,0,0,0.0372603
463466,0,0.0372603,0,0,0,0,0.0372603
463476,0,0.0186301,0,0,0,0,0.0186301
463486,0,0.0186301,0,0,0,0,0.0186301
463496,0,0,0,0,0,0,0
463506,0,0,0,0,0,0,0
463546,0,0,0,0,0,0,0
463553,0,0.0652055,0,0,0,0,0.0652055
463563,0,0.0838356,0,0,0,0,0.0838356
463573,0,0.0186301,0,0.0263158,0,0,0.0449459
463583,0,0.0186301,0,0,0,0,0.0186301
463606,0,0.0465753,0,0,0,0,0.0465753
463647,0,0,0,0,0,0,0
463650,0,0.0372603,0,0.0175439,0,0,0.0548041
463654,0,0.0372603,0,0,0,0,0.0372603
463669,0,0,0,0.0350877,0,0,0.0350877
463678,0,0,0,0.0350877,0,0,0.0350877
